id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
4754,Navjeevan Charitable Trust,Lucknow,Uttar Pradesh,disability support,To improve access to disability support services for underserved communities in Lucknow and surrounding areas.,"Navjeevan Charitable Trust works across Lucknow, offering programs in disability support. They focus on long-term impact and community engagement.",REG6316221,stationery,"data analysis, mentoring, fundraising",
4755,Dhanak Federation,Visakhapatnam,Andhra Pradesh,"disability support, disaster relief",Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,Dhanak Federation runs multiple initiatives in Visakhapatnam related to disability support and works closely with local beneficiaries.,REG7802942,,"software development, logistics, data analysis",
4756,Sankriti Trust,Surat,Gujarat,"agriculture, rural development","We provide support and resources for agriculture, aiming to build local resilience and skills.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG2430243,,"data analysis, event management, software development",
4757,Navjeevan Society,Jaipur,Rajasthan,"elderly care, child welfare","We provide support and resources for elderly care, aiming to build local resilience and skills.","Navjeevan Society works across Jaipur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG7847304,"computers, books",,
4758,Sankalp Foundation,Nagpur,Maharashtra,"disability support, housing","We provide support and resources for disability support, aiming to build local resilience and skills.","Sankalp Foundation works across Nagpur, offering programs in disability support. They focus on long-term impact and community engagement.",REG5380305,"hygiene kits, books, toys",,
4759,Nayi Disha Seva Kendra,Ahmedabad,Gujarat,environment,"Focused on inclusive environment programs, especially targeting women, children and marginalized groups.","Nayi Disha Seva Kendra works across Ahmedabad, offering programs in environment. They focus on long-term impact and community engagement.",REG9726176,"computers, blankets",software development,
4760,Prerna Federation,Mumbai,Maharashtra,environment,"We provide support and resources for environment, aiming to build local resilience and skills.",A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG2800007,"books, computers, hygiene kits","software development, teaching, construction",
4761,Pragati Charitable Trust,Delhi,Delhi,"research, education",To improve access to research services for underserved communities in Delhi and surrounding areas.,"Pragati Charitable Trust works across Delhi, offering programs in research. They focus on long-term impact and community engagement.",REG1313108,"computers, kitchenware, hygiene kits","teaching, agriculture expertise, software development",
4762,Jeevan Initiative,Kolkata,West Bengal,"education, environment","Focused on inclusive education programs, especially targeting women, children and marginalized groups.","Jeevan Initiative works across Kolkata, offering programs in education. They focus on long-term impact and community engagement.",REG5818339,,,
4763,Samanvay Centre,Nagpur,Maharashtra,mental health,"We provide support and resources for mental health, aiming to build local resilience and skills.",Samanvay Centre runs multiple initiatives in Nagpur related to mental health and works closely with local beneficiaries.,REG20285310,"clothes, blankets, stationery",event management,
4764,Nirmaan Mission,Kolkata,West Bengal,"elderly care, rural development","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG45243011,"medical supplies, books",agriculture expertise,https://www.nirmaanmission.org
4765,Seva Seva Kendra,Bengaluru,Karnataka,"elderly care, disaster relief",Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,"Seva Seva Kendra works across Bengaluru, offering programs in elderly care. They focus on long-term impact and community engagement.",REG18223712,"kitchenware, medical supplies",,https://www.sevasevakendra.org
4766,Nayi Disha Foundation,Indore,Madhya Pradesh,"water & sanitation, livelihood",To improve access to water & sanitation services for underserved communities in Indore and surrounding areas.,Nayi Disha Foundation runs multiple initiatives in Indore related to water & sanitation and works closely with local beneficiaries.,REG46895113,"medical supplies, hygiene kits",construction,
4767,Samarpan Initiative,Lucknow,Uttar Pradesh,animal welfare,"Focused on inclusive animal welfare programs, especially targeting women, children and marginalized groups.",Samarpan Initiative runs multiple initiatives in Lucknow related to animal welfare and works closely with local beneficiaries.,REG85252814,books,"teaching, fundraising, agriculture expertise",
4768,Saathi Centre,Jaipur,Rajasthan,"education, women empowerment",Committed to delivering scalable education interventions through partnerships with local stakeholders.,Saathi Centre runs multiple initiatives in Jaipur related to education and works closely with local beneficiaries.,REG85093415,"kitchenware, food, blankets","teaching, agriculture expertise, marketing",
4769,Nirmaan Society,Ahmedabad,Gujarat,water & sanitation,Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG61317916,toys,"construction, event management",
4770,Prerna Trust,Lucknow,Uttar Pradesh,"health, housing","Working towards sustainable health solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG66100717,"computers, blankets","counselling, mentoring, software development",
